"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"1","34","27","7","3049,3967,4545,4556,4558,727,4433","1.2 kW beta type Stirling engine with rhombic drive mechanism","Aksoy F., Solmaz H., Çinar C., Karabulut H.","International Journal of Energy Research","John Wiley and Sons Ltd","2017","10.1002/er.3714"
"2","176","176","0","","2 D Materials for Electrochemical Energy Storage: Design, Preparation, and Application","Cui H., Guo Y., Ma W., Zhou Z.","ChemSusChem","Wiley-VCH Verlag","2020","10.1002/cssc.201903095"
"3","57","57","0","","2-D Crack propagation analysis using stable generalized finite element method with global-local enrichments","Fonseca G.M., Barros F.B., de Oliveira T.S., Monteiro H.A.S., Novelli L., Pitangueira R.L.S.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2020","10.1016/j.enganabound.2020.05.019"
"4","61","56","5","705,169,3650,4406,50","2-D fracture mechanics problems by SGFEM","de Oliveira T.S., Barros F.B., Fonseca G.M., Pitangueira R.L.S.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2019","10.1016/j.enganabound.2019.08.022"
"5","151","151","0","","2D Boron Sheets: Structure, Growth, and Electronic and Thermal Transport Properties","Li D., Gao J., Cheng P., He J., Yin Y., Hu Y., Chen L., Cheng Y., Zhao J.","Advanced Functional Materials","Wiley-VCH Verlag","2020","10.1002/adfm.201904349"
"6","36","35","1","1098","2D analysis of laminated composite and sandwich plates using a new fifth-order plate theory","Naik N.S., Sayyad A.S.","Latin American Journal of Solids and Structures","Brazilian Association of Computational Mechanics","2018","10.1590/1679-78254834"
"7","75","75","0","","2D honeycomb borophene oxide: A promising anode material offering super high capacity for Li/Na-ion batteries","Hu J., Zhong C., Wu W., Liu N., Liu Y., Yang S.A., Ouyang C.","Journal of Physics Condensed Matter","Institute of Physics Publishing","2020","10.1088/1361-648X/ab4f4d"
"8","34","34","0","","2D vibration analysis of circular arches with constant double symmetric cross-sections using isogeometric approach","Luu A.-T., Kim N.-I., Lee J.","KSCE Journal of Civil Engineering","Springer Verlag","2017","10.1007/s12205-017-0869-2"
"9","29","29","0","","2D-layered Sn/Ge anodes for lithium-ion batteries with high capacity and ultra-fast Li ion diffusivity","Cao X., Fan Y., Qu J., Wang T., Legut D., Zhang Q.","Journal of Energy Chemistry","Elsevier B.V.","2020","10.1016/j.jechem.2019.11.025"
"10","32","32","0","","2D/3D registration with rigid alignment of the pelvic bone for assisting in total hip arthroplasty preoperative planning","Velando C.A.S., Gutierrez E.G.C.","International Journal of Advanced Computer Science and Applications","Science and Information Organization","2020","10.14569/IJACSA.2020.0110583"
"11","44","43","1","2616","3-D axisymmetric Carreau nanofluid flow near the Homann stagnation region along with chemical reaction: Application Fourier's and Fick's laws","Khan M., Salahuddin T., Malik M.Y., Tanveer A., Hussain A., Alqahtani A.S.","Mathematics and Computers in Simulation","Elsevier B.V.","2020","10.1016/j.matcom.2019.10.019"
"12","58","58","0","","3-D exact solution of two-layer plate bonded by a viscoelastic interlayer with memory effect","Wu P., Zhou D., Liu W., Lu W., Fang H.","Composite Structures","Elsevier Ltd","2017","10.1016/j.compstruct.2016.12.073"
"13","48","48","0","","3-D magneto-electro-thermal analysis of layered nanoplate including porous core nanoplate and piezomagnetic face-sheets","Arefi M., Kiani M., Civalek O.","Applied Physics A: Materials Science and Processing","Springer","2020","10.1007/s00339-019-3241-1"
"14","46","44","2","2489,2501","3-D magnetohydrodynamic AA7072-AA7075/methanol hybrid nanofluid flow above an uneven thickness surface with slip effect","Tlili I., Nabwey H.A., Ashwinkumar G.P., Sandeep N.","Scientific Reports","Nature Research","2020","10.1038/s41598-020-61215-8"
"15","72","70","2","30,574","3-D numerical study on progressive failure characteristics of marbles under unloading conditions","Zhang Y., Liu S., Kou M., Wang Z.","Applied Sciences (Switzerland)","MDPI AG","2020","10.3390/app10113875"
"16","40","39","1","4162","3D Discrete Element Method Modelling of Tunnel Construction Impact on an Adjacent Tunnel","Wu L., Zhang X., Zhang Z., Sun W.","KSCE Journal of Civil Engineering","Springer Verlag","2020","10.1007/s12205-020-2054-2"
"17","79","77","2","4162,4162","3D fracture modelling and limit state analysis of prestressed composite concrete pipes","He P., Shen Y., Gu Y., Shen P.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-018-0484-4"
"18","67","67","0","","3D geometrically nonlinear augmented finite element method for arbitrary cracking in composite laminates","Wang L., Yang Q.D.","Computers and Structures","Elsevier Ltd","2020","10.1016/j.compstruc.2020.106327"
"19","64","63","1","4162","3D meso-scale modelling of foamed concrete based on X-ray Computed Tomography","Nguyen T., Ghazlan A., Kashani A., Bordas S., Ngo T.","Construction and Building Materials","Elsevier Ltd","2018","10.1016/j.conbuildmat.2018.08.085"
"20","73","71","2","2156,2981","3D micromechanical progressive failure simulation for fiber-reinforced composites","Zhang P., Yao W., Hu X., Bui T.Q.","Composite Structures","Elsevier Ltd","2020","10.1016/j.compstruct.2020.112534"
"21","65","65","0","","3D mixed convection MHD flow of GO-MoS2 hybrid nanoparticles in H2O–(CH2OH)2 hybrid base fluid under the effect of H2 bond","Ghadikolaei S.S., Gholinia M.","International Communications in Heat and Mass Transfer","Elsevier Ltd","2020","10.1016/j.icheatmasstransfer.2019.104371"
