Keyword,,Code,"Paper title - in IFAC World Congress 2017 – Toulouse; List compiled by Doan Minh Dang, 04.07.2017"
Control of distributed systems,1, FrA01.8,Voltage and Frequency Control in AC Islanded Microgrids: A Scalable  Line-Independent Design Algorithm
Distributed control and estimation,, FrA08.1,Stabilizing Patterned Distributed Systems by State and Measurement Feedback
Distributed control and estimation,, FrA08.2,DINS: A Distributed Scheme for Sensor Fusion Over Fading Channels
Control of networks,, FrA08.3,State-Controlling Sets for Conjunctive Boolean Networks
Distributed control and estimation,, FrA08.4,A Framework for Distributed Control Based on Overlapping Estimation for Cooperative Tasks
Control of networks,, FrA08.5,First-Order Average Consensus for Cooperative Control Problems Using Novel Weighting Strategies
Distributed control and estimation,2, FrA08.6,On Event-Based Distributed Kalman Filter with Information Matrix Triggers
Large scale optimization problems,, FrA09.2,On the Connection between Nash Equilibria and Social Optima in Electric Vehicle Charging Control Games (I)
Large scale optimization problems,, FrA09.3,A Duality-Based Approach for Distributed Optimization with Coupling Constraints (I)
Convex optimization,, FrA09.3,A Duality-Based Approach for Distributed Optimization with Coupling Constraints (I)
Large scale optimization problems,, FrA09.4,Interference Induced Games in Networked Control Systems and a Class of Dual Control Solutions (I)
Large scale optimization problems,, FrA09.5,On Convexity and Monotonicity in Generalized Aggregative Games (I)
Convex optimization,, FrA09.5,On Convexity and Monotonicity in Generalized Aggregative Games (I)
Convex optimization,3, FrA10.6,Control of Switched Linear Models: A Superstability Approach
Large scale optimization problems,4, FrA11.6,An SOR-Like Method for Fast Model Predictive Control (I)
Distributed control and estimation,, FrA12.1,Collective Optimization Problems with Optimal Decentralized Selfish Strategies
Distributed control and estimation,, FrA12.3,Distributed Random-Fixed Projected Algorithms for Constrained Optimization Over Digraphs
Control of networks,, FrA12.5,A Weighted Maximum Matching Algorithm for Influence Maximization and Structural Controllability (I)
Model predictive and optimization-based control,, FrA19.1,Optimizing Control of Wave Energy Converter with Losses and Fatigue in Power Take Off (I)
Learning and adaptation in autonomous vehicles,, FrA23.5,Particle Gibbs with Ancestor Sampling for Identication of Tire-Friction Parameters (I)
Distributed control and estimation,5, FrM07.1,A Distributed Fault Detection and Isolation Algorithm Based on Moving Horizon Estimation (I)
Distributed control and estimation,, FrM08.5,Distributed Event-Triggered Subgradient Method for Convex Optimization with a Common Constraint Set
Distributed control and estimation,6, FrM08.6,Separation in Coupled Event-Triggered Networked Control Systems (I)
Control of networks,, FrM12.1,A Passivity-Based Distributed Reference Governor for Constrained Robotic Networks
Distributed control and estimation,, FrM12.1,A Passivity-Based Distributed Reference Governor for Constrained Robotic Networks
Distributed control and estimation,, FrM12.3,Leader-Following Attitude Consensus of Multiple Rigid Body Systems by an Adaptive Distributed Observer Approach
Convex optimization,, FrM14.1,Robust Anisotropy-Based Control of Linear Discrete-Time Descriptor Systems with Norm-Bounded Uncertainties
Convex optimization,, FrM14.3,On LMI Approach to Robust State-Feedback H-Infinity Control for Discrete-Time Descriptor Systems with Uncertainties in All Matrices
E-learning in control engineering,, FrM20.5,Comparing Controllers Based on IPDT Plant Models
Distributed control and estimation,, FrM24.1,Decentralized Recongurable Multi-Robot Coordination from Local Connectivity and Collision Avoidance Specications (I)
Control of networks,, FrM24.2,Compositional Abstractions of Networks of Stochastic Hybrid Systems: A Dissipativity Approach (I)
Model predictive and optimization-based control,7, FrM27.1,Integrating Process Safety Considerations in Lyapunov-Based Model Predictive Control (I)
Model predictive and optimization-based control,, FrM27.2,Framework for Combined Diagnostics  Prognostics and Optimal Operation of a Subsea Gas Compression System (I)
Model predictive and optimization-based control,, FrM27.3,Incipient Actuator Fault Handling in Nonlinear Model Predictive Control (I)
Model predictive and optimization-based control,, FrM27.4,Forecast-Triggered Fault-Tolerant Model Predictive Control of Nonlinear Processes (I)
Model predictive and optimization-based control,8, FrM27.5,Stochastic Nonlinear Model Predictive Control with Active Model Discrimination: A Closed-Loop Fault Diagnosis Application (I)
Model predictive and optimization-based control,, MoA01.11,Electrical Power Distribution System Reconfiguration: Case Study of a Real-Life Grid in Croatia
Model predictive and optimization-based control,, MoA01.6,Advanced Control for Energy Management of Grid-Connected Hybrid Power Systems in the Sugar Cane Industry
Model predictive and optimization-based control,, MoA02.4,On the Way to Purge Volume Control During Purge Processes of a Fuel Cell System by a Predictive Control Strategy
Model predictive and optimization-based control,, MoA02.6,Economic MPC Applied to Generation Scheduling in CSP Plants
Control of distributed systems,9, MoA03.12,Interior Point Decomposition for Multi-Agent Optimization
Control architectures in automotive control,10, MoA04.2,A Complete Framework for Developing and Testing Automated Driving Controllers
Distributed control and estimation,, MoA12.1,Controlling a Triangular Flexible Formation of Autonomous Agents
Distributed control and estimation,, MoA12.2,Average Consensus with Asynchronous Updates and Unreliable Communication
Distributed control and estimation,, MoA12.6,Enhancing Convergence Toward Consensus in Leader-Follower Networks
Embedded computer control systems and applications,11, MoA19.4,General Projection Neural Network Based Nonlinear Model Predictive Control for Multi-Robot Formation and Tracking (I)
Model predictive and optimization-based control,, MoA28.1,Model-Based Fault-Tolerant Control with Robustness to Unanticipated Faults (I)
Model predictive and optimization-based control,, MoA28.2,Reducing the Energy Footprint of Grinding Circuits: The Process Control Paradigm (I)
Convex optimization,, MoM02.6,Allowable Delay Sets for the Stability Analysis of Linear Time-Varying Delay Systems Using a Delay-Dependent Reciprocally Convex Lemma (I)
Cyber-Physical Systems,, MoM03.11,Designing Human-Machine Interaction Concepts for Machine Tool Controls Regarding Ergonomic Requirements (I)
