Distributed control and estimation, FrA08.1,Stabilizing Patterned Distributed Systems by State and Measurement Feedback
Distributed control and estimation, FrA08.2,DINS: A Distributed Scheme for Sensor Fusion Over Fading Channels
Distributed control and estimation, FrA08.4,A Framework for Distributed Control Based on Overlapping Estimation for Cooperative Tasks
Distributed control and estimation, FrA08.6,On Event-Based Distributed Kalman Filter with Information Matrix Triggers
Distributed control and estimation, FrA12.1,Collective Optimization Problems with Optimal Decentralized Selfish Strategies
Distributed control and estimation, FrA12.3,Distributed Random-Fixed Projected Algorithms for Constrained Optimization Over Digraphs
Distributed control and estimation, FrM07.1,A Distributed Fault Detection and Isolation Algorithm Based on Moving Horizon Estimation (I)
Distributed control and estimation, FrM08.5,Distributed Event-Triggered Subgradient Method for Convex Optimization with a Common Constraint Set
Distributed control and estimation, FrM08.6,Separation in Coupled Event-Triggered Networked Control Systems (I)
Distributed control and estimation, FrM12.1,A Passivity-Based Distributed Reference Governor for Constrained Robotic Networks
Distributed control and estimation, FrM12.3,Leader-Following Attitude Consensus of Multiple Rigid Body Systems by an Adaptive Distributed Observer Approach
Distributed control and estimation, FrM24.1,Decentralized Recongurable Multi-Robot Coordination from Local Connectivity and Collision Avoidance Specications (I)
Distributed control and estimation, MoA12.1,Controlling a Triangular Flexible Formation of Autonomous Agents
Distributed control and estimation, MoA12.2,Average Consensus with Asynchronous Updates and Unreliable Communication
Distributed control and estimation, MoA12.6,Enhancing Convergence Toward Consensus in Leader-Follower Networks
Distributed control and estimation, MoM12.6,Distributed Decoupling of Partially-Unknown Interconnected Linear Multiagent Systems: State and Output Feedback Approaches
Distributed control and estimation, MoP01.4,Mean-Field Analysis of the Convergence Time of Message-Passing Computation of Harmonic Influence in Social Networks
Distributed control and estimation, MoP01.7,Robust Average Formation Tracking for Multi-Agent Systems with Multiple Leaders
Distributed control and estimation, MoP01.9,Distributed Estimation in Uncalibrated Heterogeneous Networks
Distributed control and estimation, MoP01.11,Distributed Behavioral Control for Second-Order Nonlinear Multi-Agent Systems
Distributed control and estimation, MoP01.13,Random Set Approach to Distributed Multivehicle SLAM
Distributed control and estimation, MoP01.14,Low-Rank Distributed Consensus Controller Design for Linear Multi-Agent Systems under Randomly Switching Directed Topologies and Model Uncertainties
Distributed control and estimation, MoP02.3,Consensus Control of High-Order Multi-Agent Systems with Antagonistic Interactions and Measurement Noises
Distributed control and estimation, MoP02.4,Data Aggregation Based Estimation for Sensor Network with Communication Delay
Distributed control and estimation, MoP02.5,Distributed Consensus-Based Kalman Filtering Considering Subspace Decomposition
Distributed control and estimation, MoP02.6,Aggregate State Control of Large-Scale Systems Via Networked Controllers
