Abbau	m	HOÁ	breakdown, decomposition	sự phân giải, sư phân huỷ
Abbau	m	C_DEO	degradation, mastication	sư giảm cấp, sư nghiên dẻo hoá
Abbau	m	KT_DỆT	breakdown	sự phá huỷ
abbaubar	adj	P_LIỆU	degradable có	thể thoái biến
abbauen	vt	XD	dismantle	tháo, dở
abbauen	vt	CT_MÁY	dismount	tháo, dỡ
abbauen	vt	ÔN_BIEN	foul	làm tắc nghẽn, làm rối
abbauen	vt	V_THÔNG	clear	tái lập, xoá vê zero
Abbauförderstrecke	f	THAN	gate road	lò dọc trung gian
Abbaumittel	nt	C_I)ẺO	peptizer	chất peptit hoá
Abbaurate	f	D_KHÍ	depletion rate	tốc độ suy kiêt (trong khai thác mỏ)
Abbaustrecke	f	THAN	coal drift, gate road	đường lò than, lò doc trung gian
Abbaustufe	f	P_LIỆU	stage of decomposition	giai đoan phân huỷ
Abbeizbehälter	m	S_PHỦ	strip tank	thùng tẩy gí
Abbeizen	nt	XD, VT_THUỶ	pickling	sự tẩy gí
abbeizen	vt	S_PHỬ	strip	tẩy gỉ
abbeizen	vt	XD	scour	cọ sạch, đánh sạch
abbeizen	vt	CNSX	pickle	tẩy gì
Abbeizer	m	XD	paint stripper	chất tẩy sơn
Abbeizer	m	XD	remover	chất tay (màu)
Abbeizmittel	nt	HOÁ	scouring agent	tác nhân tẩy sạch, chất tẩy sạch
Abbesches Refraktometer	nt	V_LÝ	Abbe refractometer	khúc xạ kê Abbe
Abbesche Zahl	f	SỨ_TT	Abbe coefficient	hê sô Abbe
Abbesche Zahl	f	V_LÝ	Abbe number	sô Abbe (tán sắc)
AB-Betrieb	m	Đ_TỬ	dass AB mode	chê'độ hạng
AB-Betrieb	m	AB		
Abbiege-	pref	V_TẢI	turning (thuộc)	quay
abbiegen	vt	XD	bend down	uốn xuống ( thép làm cốt)
abbiegender Verkehr	m	V_TẢI	turning traffic	lưu lương rẽ
Abbiegespur	f	V_TẢ1	turning	sự rẽ
Abbiegestrôme	m pl	V_TẦI	turning movements (các)	chuyển động rẽ
Abbild	nt	M_TÍNH	image, map	ảnh, ánh xạ
Abbild	nt	M_TÍNH	instance	ảnh sao (tái tạo ảo của các vật)
Abbild	nt	C_THÁI	image	ảnh
Abbild-Aktualisierung	f	M_TÍNH	image refreshing	sự làm tươi lại ảnh
Abbildbereich	m	M_TÍNH	image area	vùng ảnh
Abbilden	nt	M_TÍNH	mapping	sư ánh xạ
abbilden	vt	M_TÍNH	image	tạo ảnh
abbilden	vt	M_TÍNH	map	ánh xạ (bộ nhớ)
Abbildträger	m	M_TÍNH	image carrier	vát mang ảnh, phương tiên mang ảnh
Abbildungsfehler	m	V_LÝ	aberration	quang sai
Abbildungsmaßstab	m	VẼ_KT	reproduction scale	tỷ lê tái tạo
Abbau	m	HOÁ	breakdown, decomposition	sự
