	
	1 
Abbau (Zersetzung/Zerfall/ Zusammenbruch) 	degradation, decomposition, breakdown; (einer Apparatur) disassembly, dismantling, dismantlement, takedown ¾ 
biologischer Abbau/ Biodegradation 	biodegradation ¾ 
enzymatischer Abbau 	enzymatic digestion ¾ 
Lichtabbau/ photochemischer Abbau 	photodegradation ¾ 
Wärmeabbau/Wärmezersetzung/ thermischer Abbau 	thermal degradation 
Abbaubarkeit 	degradability, decomposability ¾ 
biologische Abbaubarkeit 	biodegradability ¾ 
enzymatische Abbaubarkeit 	enzymatic degradability ¾ 
Lichtabbaubarkeit 	photodegradability 
abbauen 	(zersetzen) degrade, decompose, break down; (Apparatur/Experimentiergerät) disassemble (take equipment apart) 
Abbauprodukt 	degradation product 
abbinden (fest/steif werden) 	set 
Abbindezeit polym 	curing time ¾ 
A. während Temperatureinwirkung 	temperature time (curing time under temperature) 
abdampfen/abdunsten 	evaporate 
Abdampfschale 	evaporating dish 
Abdichtbarkeit 	sealability 
abdichten 	"seal off, make tight, make leakproof, insulate 
Ab "
Abdichtfolie/ Abdichtungsfolie 	sealing foil, liner, barrier foil 
Abdichtmasse/ Abdichtungsmasse 	sealing compound, sealant 
Abdichtung 	seal, sealing; (Manschette) gasket 
abfackeln 	flare, burn off 
Abfackelung 	flare, flaring off, burning off 
Abfall 	waste, trash, refuse; litter ¾ 
Sonderabfall/Sondermüll 	hazardous waste 
Abfallbehälter 	trash can; waste container, litter bin 
Abfallentsorgung/ Abfallbeseitigung 	waste disposal 
Abfallgesetz/ Abfallbeseitigungsgesetz (AbfG) 	waste disposal law, waste disposal act 
Abfallvorbehandlung 	waste pretreatment 
abfärben 	stain, bleed 
abflammen/ 'flambieren' (sterilisieren) 	flame 
Abfluss 	(Ausfluss) discharge, outflow, efflux, draining off; (Ablauf, z.B. am Waschbecken) drain ¾ 
frei machen 	unblock ¾ 
verstopft 	blocked, clogged, choked 
Abflussbecken 	sink, basin 
Abgabepuls (Pumpe) 	discharge stroke 
Abgangsmolekül 	leaving molecule 
Ab                                                                                    	2 
Abgas(e) 	exhaust(s); exhaust fumes 
abgelaufen (Haltbarkeitsdatum) 	expired, outdated 
abgeschrägt/abgekantet (Kanülenspitze/Pinzette etc.) 	beveled, bevelled 
abgießen/ dekantieren (ablassen) 	pour off, decant (drain) 
Abgleich 	adjustment, equalization, balancing, balance; alignment; tuning 
abgleichen 	adjust, equalize, balance; align, tune 
abgraten 	(entgraten) deflash; (abkanten) trim; (bördeln) deburr 
Abgraten 	(Entgraten) deflashing; (Abkanten) trimming; (Bördeln) deburring 
Abgratmaschine/ Entgratmaschine 	deflasher, deflashing machine 
Abguss (an der Spüle) 	drain (of the sink) ¾ 
in den Abguss schütten 	pour s.th. down the drain 
Abisolierzange 	wire stripper 
abkanten 	(abschrägen: Metall/Pinzetten/ Kanülen/Glas etc.) bevel; trim; (anfasen) chamfer 
Abklärflasche/ Dekantiergefäß/ Dekanter 	decanter 
abkochen/absieden 	decoct 
Abkochung/ Absud/Dekokt 	decoction 
abkühlen 	"cool down, get cooler 
Abkühlzeit/Abkühlphase/ Fallzeit "
(Autoklav) 	cool-down period, cooling time 
ablängen (mit Glasrohrschneider) 	size, cut into discreet length 
ablassen 	drain, discharge; (Druck reduzieren) relieve, vent 
Ablasshahn/Ablaufhahn 	draincock (faucet/spigot) 
Ablauf 	drain; (Ablaufbrett/Platte an der Spüle) drainboard; (Ausfluss: Austrittstelle einer Flüssigkeit) outlet; (heraus- fließende Flüssigkeit) effluent 
Ablaufdatum/Verfallsdatum 	expiration date 
ablaufen lassen 	drain 
ableiten 	carry off, drain, discharge; (umleiten) deflect ¾ 
zuleiten 	supply, feed, pipe in, let in 
Ableitung (von Flüssigkeiten) 	discharge, drainage, outlet ¾ 
Zuleitung 	supplying, feeding, inlet 
ablenken 	deflect 
Ablenkung 	deflection 
ablesbar 	readable 
Ablesbarkeit (Waage/Anzeige) 	readability 
Ablesefehler 	reading error, false reading 
Ablesegenauigkeit 	reading accuracy 
Ablesegerät 	direct-reading instrument 
Ablesemarke 	reference point, index mark 
ablesen 	read (off/from) 3 
Ablesung/Ablesen (Gerät/Messwerte) 	reading, readout 
Ablösefestigkeit/ Schälfestigkeit 	peel resistance 
ablösen vb 	separate, release; unbond; peel off 
Ablösen n 	separation, release, releasing; unbonding; peeling off 
Ablöseversuch/Schälversuch 	peel test 
Abluft 	exhaust, exhaust air, waste air, extract air 
Ablufteinrichtung/ Abluftsystem 	exhaust system, off-gas system 
Abluftschacht 	exhaust duct 
Abluftsystem 	exhaust system 
abmelden 	deregister, sign out (schriftlich 'austragen') 
abmessen 	measure, size 
Abmessungen (Höhe/Breite/Tiefe) 	dimensions (height/width/depth) 
Abnahme 	(eines Labors nach Fertigstellung) commissioning, certification; 
text 	doff (a bobbin) 
Abpackung 	pack, package 
Abquetschfläche/ Steg (hervorstehende Kante nach Guss) 	land (of mold) 
Abquetschwalze (Extrusion) 	nip roll 
Abrauchen 	fuming; (eindampfen) evaporate 
abreichern 	"deplete, strip, downgrade 
Ab "
Abreicherung 	depletion, stripping, downgrading 
Abrieb 	abrasion; attrition; abrasive wear, wear debris 
Abriebfestigkeit 	abrasion resistance 
abrutschen/ausrutschen 	slip 
absaugen (Flüssigkeit) 	draw off, suction off, siphon off, evacuate 
abschalten 	turn off, shut off, switch off; (Computer: herunterfahren) power down ¾ 
anschalten 	turn on, switch on; (Computer: hochfahren) power up 
Abschaltung 	shutoff ¾ 
automatische Abschaltung 	(elektronische Geräte) auto-shutoff 
Abschaltventil 	shut-off valve 
Abscheider 	separator, precipitator, settler, trap, catcher, collector ¾ 
Wasserabscheider 	water separator, water trap 
abschirmen (von Strahlung) 	shield (from radiation) 
Abschirmlänge/Korrelationslänge (ξ) 	screening length, correlation length 
Abschirmung (von Strahlung) 	shielding (from radiation) 
Abschmelzrohr 	fusion tube, melting tube 
abschöpfen 	skim off, scoop off/up 
abschrägen 	(abkanten: Metall/ Pinzetten/Kanülen/Glas etc.) bevel; trim; (anfasen) chamfer, level 
Abschrägmaschine/ Anfasmaschine 	chamfering machine 
abschrecken 	turn away, repel, reject; 
polym 	quench 
Ab                                                                                    	4 
abseihen 	strain 
absondern/ abscheiden (Flüssigkeiten) 	exude, secrete, discharge 
Absorbanz (Extinktion) 	absorbance, absorbancy (extinction: optical density) 
absorbieren/aufsaugen 	soak up, absorb 
Absorption 	absorption 
Absorptionsindex 	absorbance index, absorptivity 
Absorptionskoeffizient 	absorption coefficient 
Absorptionsmittel/ Aufsaugmittel 	absorbent, absorbant 
Absorptionsspektrum 	absorption spectrum, dark-line spectrum 
Absorptionsvermögen/ Absorptionsfähigkeit/ Aufnahmefähigkeit 	absorbency 
Absperrband/Markierband 	barricade tape 
absperren 	block off, seal, turn off, shut (off), stop 
Absperrhahn/Sperrhahn 	stopcock 
Absperrung/ Barriere/Sperre/Barrikade 	barrier, barricade 
Absperrventil 	shut-off valve 
Abstand (Geräte/Möbel etc.) 	space, distance; clearance 
Abstand halten! 	keep clear! 
Abstandhalter/ Abstandshalter/ Distanzstück 	spacer 
absteigend (DC) 	descending 
Abstoppmittel 	"shortstopping agent, stopper 
abstoßen repel; reject "
abstoßend 	(Wasser etc.) repellent, repellant 
Abstoßungskraft 	repellent/repelling force, repulsion force 
Abstreicher/Rakel (Gummi) 	squeegee 
Abstreifer/Schaber (Mischer) 	wiper blade 
Abstreifmesser/Rakel 	doctor knife 
abtauen (Kühl-/Gefrierschrank) 	defrost 
Abtransport/Entfernen 	transporting away; removal 
abtrennen 	separate 
Abtrennung 	separation; (Trennwand: räumlich) partition 
Abtriebsäule/Abtreibkolonne dest 	stripping column 
Abtriebsteil (Unterteil der Säule) dest 	stripping section 
Abwärme 	waste heat 
abwaschbar 	washable 
Abwasser 	wastewater, sewage ¾ 
Rohabwasser 	raw sewage 
Abwasseraufbereitung 	sewage treatment 
abweichen von ... 	deviate from ... 
abwiegen (eine Teilmenge) 	weigh out 
abwischen 	wipe, wipe off, wipe clean 
Abzieher/Gummiwischer (Fensterwischer/Bodenwischer) 	squeegee ¾ 
