abblasen	vt	KTH_NHÂN	blow off xả	ra, thổi ra
Abblasventil	nt	CNSX	bleeder	van bảo vệ
Abblasventil	nt	CNSX	TH_LựC blow valve	van xả
Abblättern	nt	CNSX	scaling	sự bóc vỏ
Abblättern	nt	KT_DỆT	peeling	sự lột da, sự tước vỏ, sự tróc vỏ
abblättern	vt	CNSX	scale	tróc vỏ, bóc vỏ
abblättern	vi	XD	chip, peel, spall	bào, chẻ, bi bóc vỏ, got vỏ, đập vò
Abblend-	pref	KT_ĐIỆN, ÔTÔ	dimmed, dipped	đươc làm mờ, được nhúng
abblenden	vt	FOTO	stop down	chắn sáng
abblenden	vi	KT_ĐIỆN	dim	mờ đi, tối đi
Abblendlicht	nt	ÔTÔ	dimmed headlight (Anh), dipped beam, dipped headlight (Mỹ), passing light (Mỹ)	đèn chiếu gần, đèn mờ
Abblendschalter	m	KT_ĐIỆN	dimmer switch	công tắc điều chinh độ sáng
abböschen	vt	XD	batter, slant, slope	tạo mặt nghiêng, tạo mặt dốc
Abbrand	m	KTH_NHÂN	burnout	sự cháy hết, sự cháy hoàn toàn
Abbrechen	nt	CN_HOÁ	breaking	sự gãy, sự võ
abbrechen	vt	XD	demolish	phá huỷ (ngôi nhà)
abbrechen	vt	M_TÍNH	abort, cancel	huỷ, bỏ
abbrechen	vt	SỨ_TT	break off (Anh), cap	làm vỡ, làm gãy; làm nắp
abbrechen	vt	Đ_KHIỂN, DHV_TRỤ	abort	huỷ bỏ
abbrechen	vt	V_THÔNG	terminate	kết thúc (chương trình)
Abbrems-	pref	DHV_TRỤ	retardation, retrograde (thuôc)	đi châm, đi lùi
abbremsen	vt	HOÁ, DHV_TRỤ	retard	làm chậm, làm trễ (electron, tàu vũ trụ)
abbremsen	vi	V_LÝ	decelerate	giảm tốc, hãm lai
abbremsend	adj	V_LÝ	decelerated	bị giảm tốc
abbremsend	adj	DHV_TRỤ	retrograde	lùi
Abbremsorbit	m	DHV_TRỤ	retrograde orbit	quỹ đạo lùi
Abbremsrakete	f	DHV_TRỤ	retardation rocket	tên lửa hãm
Abbrennbürste	fx	D	breaker point	điểm gãy
abbrennen	vt	HOÁ	deflagrate	làm bùng cháy (không nổ)
Abbrennschweißen	nt	XD	flash welding	sự hàn chảy giáp môi
abbrôckeln	vti	XD	crumble away	làm vụn ra, làm rời ra, vụn ra, rời ra
Abbruch	m	M_TÍNH	abort, hang-up, termination, cancel	sư huỷ, sự treo, sự kết thúc
Abbruch	m	V_THỎNG	disconnection	sự ngắt, sự không nối kết
Abbruchabfall	m	P_L1ỆU	demolition waste, rubble	chất thải phá nổ, đất đá vun
